pincode,city,state,district,lat,lon
124411,Rohtak,HR,Rohtak,28.452977,76.378498
124412,Rohtak,HR,Rohtak,28.605585,76.620026
124501,Rohtak,HR,Jhajjar,28.671593,76.748085
124504,Rohtak,HR,Jhajjar,28.655326,76.753407
124505,Rohtak,HR,Jhajjar,28.736017,76.894341
124506,Rohtak,HR,Jhajjar,28.735904,76.902704
124507,Rohtak,HR,Jhajjar,28.681179,76.902704
124508,Rohtak,HR,Jhajjar,28.4153,77.5547
124513,Rohtak,HR,Rohtak,29.0100277,76.3781722
124514,Rohtak,HR,Rohtak,28.735904,76.510506
125001,Hissar,HR,Hisar,29.1594444,75.5712778
125004,Hissar,HR,Hisar,29.1497222,75.70825
125005,Hissar,HR,Hisar,29.1323055,75.7426111
125006,Hisar,HR,Hisar,29.1123472,75.1883777
125007,Hisar,HR,Hisar,29.1394321,75.582458
125011,Hissar,HR,Hisar,29.217744,75.681899
125033,Hansi,HR,Hisar,29.0977222,75.9688055
125037,Bhiwani,HR,Hisar,28.9448611,75.8261241
125038,Hissar,HR,Hisar,29.1898901,76.2245833
125039,Narnaund,HR,Hisar,29.2246111,76.1387501
125042,Hissar,HR,Hisar,29.1086944,75.1999722
125044,Hissar,HR,Hisar,29.1288333,75.7844722
125047,Hissar,HR,Hisar,29.302081,75.660084
125048,Hissar,HR,Fatehabad,29.356295,74.079947
125049,Hissar,HR,Hisar,29.1594444,75.5712778
125050,Fatehabad,HR,Fatehabad,29.508192,75.4535162
125051,Sirsa,HR,Fatehabad,29.6853055,75.5762777
125052,Sirsa,HR,Hisar,28.1817777,75.4726388
125053,Sirsa,HR,Fatehabad,29.385233,75.337307
125054,Sirsa,HR,Sirsa,29.5461388,75.2148333
125055,Sirsa,HR,Sirsa,29.5347777,75.0320833
125056,Sirsa,HR,Sirsa,29.5347778,75.0320833
125058,Sirsa,HR,Sirsa,29.4503055,75.1193333
125060,Sirsa,HR,Sirsa,29.5457222,75.1141111
125075,Sirsa,HR,Sirsa,29.5275277,74.7394722
125076,Rania,HR,Sirsa,29.5235833,74.8406388
125077,Sirsa,HR,Sirsa,29.7654166,74.8992777
125078,Sirsa,HR,Sirsa,29.6993611,75.0066388
125101,Sirsa,HR,Sirsa,29.7802222,74.5243055
125102,Ellenabad,HR,Sirsa,29.4490833,74.6628611
125103,Sirsa,HR,Sirsa,29.78325,74.7477222
125104,Mandi Dabwali,HR,Sirsa,29.9591388,74.6981111
125106,Sirsa,HR,Fatehabad,29.6745555,75.7301111
125110,Sirsa,HR,Sirsa,29.3710277,75.1261388
125111,Fatehabad,HR,Fatehabad,29.2100833,75.7090277
125112,Safidon,HR,Fatehabad,29.5743333,75.7863055
125113,Hisar,HR,Hisar,29.5065833,76.3382222
125120,Fatehabad,HR,Fatehabad,29.7208611,75.9025277
125121,Hisar,HR,Hisar,29.329776,75.926768
125133,Fatehabad,HR,Fatehabad,29.8089722,75.82325
